job_url,job_is_new,company,company_rating,location,job_is_remote,salary,job_post_date
https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C3j_zLGvpMLCdiZ0WC46XqVTA1VMZzOzKXPhAXwYlrNag_LLRX9rPXUxGFKwpmqDwmBCnx60Zz1C__HHOZEDx01-NAj3r7DwtBKNuq_ZgihVxShQ1OcT0FdAw45uNu1mYzEulTmEmJvHV4bCQ_8Z277bo0PclMoYQCaCc0e6vu4hHeAjG050Uu_VKjxUJAOk6fYk2aYJ2OF3L23ob-tTiGPQRslGebsJeyiBy-UfLZLV-tzshqkNkvl95Lloetc73P_xJNEFJQLRXcGCW_tuC9tGAUQm1-nMqiIxTsXWd6LQF6n84S2bz7D0yJBoshd7XLnWU9Q8PkFL6sRIqwx5cORRdmIm8qE9zR7gFCQtnvTk-TL4oXCrbps2NOGkB-tQaLIjXCCLlorLJjNpQ2l5Va&p=0&fvj=0&vjs=3,new,"

Capital One","
3.9




","McLean, VA 22101",NA,NA,2020-07-07
"https://www.indeed.com/company/OBMedia,-LLC/jobs/Data-Analyst-595cb04bf5ee84b7?fccid=e9ac25bf22833432&vjs=3",new,"
OBMedia",-1,"Raleigh, NC",Remote work available,"
$60,000 - $80,000 a year",2020-07-07
https://www.indeed.com/company/Enhance-IT/jobs/Junior-Machine-Learning-Engineer-b7db209c8b707ef6?fccid=6d3834f9d1c6666b&vjs=3,new,"

Enhance IT","
3.4




","Atlanta, GA",NA,"
$35 - $40 an hour",2020-07-07
https://www.indeed.com/rc/clk?jk=44a6179cb6479932&fccid=9a92a4bf81326e1e&vjs=3,new,"

AIG","
3.7




","Woodland Hills, CA",NA,NA,2020-07-07
https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C3j_zLGvpMLCdiZ0WC46XqVTA1VMZzOzKXPhAXwYlrNag_LLRX9rPXUxGFKwpmqDwmBCnx60Zz1EypNe0ZNhBMHcfLYzf9hTJzCulGUlGMSjFR5ez9LjI2Fix-ZiOaUeDEsg0fgAEKSS5b7S3Pn1DgIqciYNXrHsfBCeyIAoh8PpUg-GgBkKtL2K0gjqrCIcpmE9-63-5oOUrzNVDatcDmTnqIIEgzQi2apM5BGJ0TunRtrpLD7x5q1py1FK25poXb1zbhhP44tS9K6qMYlLpnNpFTVCFTDjkp5dlQ6ecpE1cv7ANJ61HpNfy_rHW9h1LL8Z1hRUxO2L4d4V2oSVNOT-WiTqtHXYNnqfX8O6HZE_bWizF3Mn53lQNg7Atn2UYZyeXlIv3L3hF8sBkHuqBE&p=4&fvj=0&vjs=3,new,"

Capital One","
3.9




","Plano, TX 75023",NA,NA,2020-07-07
https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C3j_zLGvpMLCdiZ0WC46XqVTA1VMZzOzKXPhAXwYlrNag_LLRX9rPXYqSsWR4TS0UOtngRW_zLsSS5TaObVE8_Ac-m7UASzZNv_rMttStBrjpYizdoPWTRCxcKmHooanSYGuHNPT6cBOoeOjyYVM0-s7Vyjli10LhucGPqz4ByMZLVssukfCpD1uvGyaUnbwmaY9IrPuQRb4ibTS4g5eRIqeeyuuJ4AYcMXIktdEyK1y-o8v2O0Y2EupeBhjojmGqMwo-vsWK7kfLGWzXb-qcV48ODU5vToJgYVHX6KAWWijtak_Gxk1q1-APardFvRNtd84mvEtzRZwzY_9XFyYkNRFvdkE-xLmDgaq0VYDjUGCYMQ7JIOVd3lzbgIW0OLMrrMPkHhFDN2AHSqamkNAd7&p=5&fvj=0&vjs=3,new,"

Capital One","
3.9




","New York, NY 10012 (Greenwich Village area)",NA,NA,2020-07-07
https://www.indeed.com/rc/clk?jk=c7b7c86b9406ef1e&fccid=5ca887a292eb8bee&vjs=3,new,"
twoXAR",-1,"Mountain View, CA 94043",NA,NA,2020-07-07
https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BFemGR3Go9F8v2-GKl2JIsWfZgOhsTAVgyMzz65WEpTQWGMf7eMqpOI4bFQW9RtzZzDo-qoj4HL4qFr_cJLU-ZeVWzulIus9uOlXuYi-DF2UxE0A60TQax6v4FxUiPuJEXzjWfeweDs49khdFxk9E-EfnXa7PMrihlBBZM4NkuAwsvK9woJ7gPvKSCGiZDGIMAL2dSQaCdnuef_Bn3Vuywkx7VDOJjGLJ61iRrAjH2IydqWPg_NGA3a9T4KQrSR2hEpFgbqoztvypEDqb2HSSlU39TV1f4xx45Bjz801KKSfxh0h5TjeqmaMQe_VFOaHChK9G3RUaZvdT4SRsV-r9W1MmN7Z5Vd4-0U96Z-17bm6lf7NnG4aY3b45OGi4ui2uDobiUPhugX9XqqBOmgzpJb3znP1JZtwvWmH5IJbkD-bADYNxWrL6y3IOP1gILr16hcyEdtQhD9bI3olNtSEQ6hwhyAuoVUXWVJHhqrAvd1oZ0GDzxV9lE&p=7&fvj=1&vjs=3,new,"

Lenmar Consulting","
3.5




","Jersey City, NJ 07302 (The Waterfront area)",Remote work available,"
$90 an hour",2020-07-07
https://www.indeed.com/rc/clk?jk=0779ff4319f9ca20&fccid=5549c6b9723b4956&vjs=3,new,"

Rockstar Games","
4.2




","New York, NY 10012 (SoHo area)",NA,NA,2020-07-07
https://www.indeed.com/rc/clk?jk=dc35a5b45f9c4d69&fccid=c1099851e9794854&vjs=3,new,"

Apple","
4.2




","Austin, TX",NA,NA,2020-07-07
https://www.indeed.com/rc/clk?jk=4b0f4d460d1faf97&fccid=de56470bf18a9e11&vjs=3,new,"
Comlinkdata",-1,"Boston, MA",NA,NA,2020-07-07
https://www.indeed.com/rc/clk?jk=c209fbe4913e919c&fccid=829335fdf5fd46d8&vjs=3,new,"
One Concern",-1,"Menlo Park, CA",NA,NA,2020-07-07
https://www.indeed.com/rc/clk?jk=bef250b7ad9fa570&fccid=c1099851e9794854&vjs=3,new,"

Apple","
4.2




","Austin, TX",NA,NA,2020-07-07
https://www.indeed.com/rc/clk?jk=fd45b07f334debd8&fccid=4e041af1d0af1bc8&vjs=3,new,"

Booz Allen Hamilton","
3.9




","Falls Church, VA 22042",NA,NA,2020-07-07
https://www.indeed.com/company/Michaels/jobs/Software-Development-Engineer-673cbd5494d91c0e?fccid=7bec89cb1b3b9073&vjs=3,new,"

Michaels","
3.6




","Dallas-Fort Worth, TX",Remote work available,NA,2020-07-07
https://www.indeed.com/rc/clk?jk=c766bf5b5cb4ebe9&fccid=7c3a1f1f98dde031&vjs=3,new,"

SoFi","
3.2




","San Francisco, CA 94105 (South Beach area)",NA,NA,2020-07-07
https://www.indeed.com/rc/clk?jk=6792d4b9170c97df&fccid=d492310e78d122ff&vjs=3,new,"

Nelnet","
3.5




","Lincoln, NE 68508 (Downtown area)",NA,NA,2020-07-07
https://www.indeed.com/rc/clk?jk=45089036af4c5229&fccid=f7029f63fe5c906e&vjs=3,new,"

Verizon","
3.9




","Piscataway, NJ 08854",NA,NA,2020-07-07
